recipe_name,dietary_restriction,original_recipe,modified_recipe
Gluten Free Skillet,gluten-free,"Prep Time: 17 mins
Cook Time: 20 mins
Total Time: 37 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound chicken, cut into bite sized pieces
2 cups chopped mushrooms
2 cups chopped zucchini
1 1/2 pounds russet potatoes, diced
2 teaspoons herbes de Provence
1 teaspoon salt
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the chicken to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the mushrooms and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the potatoes along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 21 mins
Cook Time: 27 mins
Total Time: 48 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound chicken, cut into bite sized pieces
2 cups chopped mushrooms
2 cups chopped zucchini
1 1/2 pounds russet potatoes, diced
2 teaspoons herbes de Provence
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the mushrooms and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the potatoes and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Beef Pasta Bake,dairy-free,"Prep Time: 16 mins
Cook Time: 26 mins
Total Time: 42 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound beef, cut into bite sized pieces
2 cups chopped carrots
2 cups chopped zucchini
8 ounces dry pasta
2 teaspoons smoked paprika
1 teaspoon salt
1/2 teaspoon black pepper
1 cup shredded cheddar cheese
1/2 cup grated Parmesan cheese
1 cup heavy cream

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the beef to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the carrots and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the pasta along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 16 mins
Cook Time: 33 mins
Total Time: 49 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound beef, cut into bite sized pieces
2 cups chopped carrots
2 cups chopped zucchini
8 ounces dry pasta
2 teaspoons smoked paprika
1/2 teaspoon black pepper
1 cup unsweetened almond milk or oat milk
1/4 cup nutritional yeast

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the carrots and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the pasta and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Tofu Rice Bowl,vegetarian,"Prep Time: 18 mins
Cook Time: 26 mins
Total Time: 44 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound salmon, cut into bite sized pieces
2 cups chopped mushrooms
2 cups chopped snap peas
1 1/2 cups uncooked white rice
2 teaspoons ground cumin
1 teaspoon salt
1/2 teaspoon black pepper
1 cup shredded cheddar cheese
1/2 cup grated Parmesan cheese
1 cup heavy cream

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the salmon to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the mushrooms and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the rice along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 18 mins
Cook Time: 32 mins
Total Time: 50 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
2 cups cooked lentils or 1 can chickpeas, drained and rinsed
2 cups chopped mushrooms
2 cups chopped snap peas
1 1/2 cups uncooked white rice
2 teaspoons ground cumin
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the mushrooms and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the rice and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Chickpea and Vegetable Soup,vegan,"Prep Time: 18 mins
Cook Time: 23 mins
Total Time: 41 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound shrimp, cut into bite sized pieces
2 cups chopped snap peas
2 cups chopped zucchini
4 cups low sodium chicken broth
1 can diced tomatoes, about 14 ounces
2 teaspoons chili powder
1 teaspoon salt
1/2 teaspoon black pepper
1 cup shredded cheddar cheese
1/2 cup grated Parmesan cheese

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the shrimp to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the snap peas and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 24 mins
Cook Time: 21 mins
Total Time: 45 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
14 ounces extra firm tofu, pressed and cubed, or 2 cups cooked chickpeas
2 cups chopped snap peas
2 cups chopped zucchini
4 cups low sodium chicken broth
2 teaspoons chili powder
1/2 teaspoon black pepper
1 cup unsweetened almond milk or oat milk
1/4 cup nutritional yeast

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the snap peas and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Keto Stew,keto,"Prep Time: 22 mins
Cook Time: 25 mins
Total Time: 47 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound turkey, cut into bite sized pieces
2 cups chopped zucchini
2 cups chopped cherry tomatoes
1 1/2 cups uncooked white rice
1 can diced tomatoes, about 14 ounces
2 teaspoons turmeric
1 teaspoon salt
1/2 teaspoon black pepper
1 cup shredded cheddar cheese
1/2 cup grated Parmesan cheese

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the turkey to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the zucchini and cherry tomatoes and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the rice along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 20 mins
Cook Time: 34 mins
Total Time: 54 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound turkey, cut into bite sized pieces
2 cups chopped zucchini
2 cups chopped cherry tomatoes
3 cups small cauliflower florets or cauliflower rice
2 teaspoons turmeric
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the zucchini and cherry tomatoes and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the cauliflower rice and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Nut Free Tofu Salad,nut-free,"Prep Time: 25 mins
Cook Time: 20 mins
Total Time: 45 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
14 ounces extra firm tofu, pressed and cubed
2 cups chopped carrots
2 cups chopped zucchini
1 1/2 cups cooked quinoa or farro
2 teaspoons Italian seasoning
1 teaspoon salt
1/2 teaspoon black pepper
1/3 cup chopped almonds or cashews

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the tofu to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the carrots and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the grains along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 24 mins
Cook Time: 27 mins
Total Time: 51 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
14 ounces extra firm tofu, pressed and cubed
2 cups chopped carrots
2 cups chopped zucchini
1 1/2 cups cooked quinoa or farro
2 teaspoons Italian seasoning
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the carrots and zucchini and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the grains and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Soy Free Lentil Tacos,soy-free,"Prep Time: 17 mins
Cook Time: 28 mins
Total Time: 45 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
2 cups cooked lentils
2 cups chopped mushrooms
2 cups chopped snap peas
8 small flour tortillas or 4 burger buns
2 teaspoons turmeric
1 teaspoon salt
1/2 teaspoon black pepper
3 tablespoons soy sauce

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the lentil to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the mushrooms and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the tortillas or buns along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 19 mins
Cook Time: 31 mins
Total Time: 50 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
2 cups cooked lentils
2 cups chopped mushrooms
2 cups chopped snap peas
8 small flour tortillas or 4 burger buns
2 teaspoons turmeric
1/2 teaspoon black pepper
1/4 cup broth plus 1 tablespoon apple cider vinegar in place of soy sauce

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the mushrooms and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the tortillas or buns and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Egg Free Stir-Fry,egg-free,"Prep Time: 24 mins
Cook Time: 24 mins
Total Time: 48 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
2 cups cooked chickpeas, drained and rinsed
2 cups chopped kale
2 cups chopped mushrooms
4 cups low sodium chicken broth
2 teaspoons turmeric
1 teaspoon salt
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the chickpea to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the kale and mushrooms and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 20 mins
Cook Time: 24 mins
Total Time: 44 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
2 cups cooked chickpeas, drained and rinsed
2 cups chopped kale
2 cups chopped mushrooms
4 cups low sodium chicken broth
2 teaspoons turmeric
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the kale and mushrooms and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Mushroom Curry,halal,"Prep Time: 19 mins
Cook Time: 20 mins
Total Time: 39 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
12 ounces sliced mushrooms
2 cups chopped green beans
2 cups chopped mushrooms
1 1/2 cups uncooked white rice
2 teaspoons chili powder
1 teaspoon salt
1/2 teaspoon black pepper
4 slices bacon, chopped
1/2 cup dry white wine

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the mushroom to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the green beans and mushrooms and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the rice along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 24 mins
Cook Time: 33 mins
Total Time: 57 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
1 pound halal chicken or beef, cut into bite sized pieces
2 cups chopped green beans
2 cups chopped mushrooms
1 1/2 cups uncooked white rice
2 teaspoons chili powder
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the green beans and mushrooms and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the rice and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
Vegetable Stuffed Peppers,kosher,"Prep Time: 18 mins
Cook Time: 24 mins
Total Time: 42 mins
Servings: 6

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
4 cups mixed chopped vegetables
2 cups chopped broccoli
2 cups chopped snap peas
4 cups low sodium chicken broth
2 teaspoons chili powder
1 teaspoon salt
1/2 teaspoon black pepper
1 cup shredded cheddar cheese
1/2 cup grated Parmesan cheese
1 cup heavy cream

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the mixed vegetable to the pan and cook, stirring now and then, until lightly browned on the outside and mostly cooked through, 6 to 8 minutes.
4. Add the broccoli and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth along with any broth or tomatoes that are listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the starch or grains are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using cream or cheese, stir them in during the last few minutes of cooking until melted and the sauce is thickened. Taste and adjust the seasoning with additional salt and pepper as needed.
8. Remove the pan from the heat, let it sit for a minute, then serve hot.
","Prep Time: 22 mins
Cook Time: 24 mins
Total Time: 46 mins
Servings: 4

Ingredients
2 tablespoons olive oil
1 medium onion, diced
3 cloves garlic, minced
4 cups mixed chopped vegetables
2 cups chopped broccoli
2 cups chopped snap peas
4 cups low sodium chicken broth
2 teaspoons chili powder
1/2 teaspoon black pepper

Directions
1. Heat 1 tablespoon of the olive oil in a large skillet or pot over medium heat. Add the onion and cook, stirring occasionally, until softened and lightly golden, about 4 to 5 minutes.
2. Stir in the garlic and cook for 1 minute, just until fragrant.
3. Add the protein to the pan and cook, stirring now and then, until it is starting to brown and is mostly cooked through, 5 to 7 minutes.
4. Add the broccoli and snap peas and cook for another 3 to 4 minutes, until the vegetables begin to soften.
5. Stir in the broth and any broth or plant based milk that is listed. Mix well and bring the mixture to a gentle simmer.
6. Reduce the heat to medium low, cover, and cook until the vegetables and base are tender and most of the liquid has reduced, 15 to 20 minutes, stirring once or twice.
7. If you are using plant milk or nutritional yeast, stir them in during the last few minutes of cooking to create a creamy sauce. Taste and adjust with herbs, black pepper, or lemon juice instead of extra salt.
8. Remove the pan from the heat and serve hot as a complete meal that follows the dietary restriction.
"
